"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"43","0eb91de806fc9f3c54c7f8a5ac397096",5.6636856112252,-2.35816033175894,0.574954279737894,-4.1014745256509,4.1052570820201e-05,0.000642062207627944
"44","2f552ec5497e1e48dc7b5bd44cc81e66",5.28975982099085,-2.32063289697578,0.540566573248883,-4.29296410806248,1.76303515209686e-05,0.00033626670461945
"45","5e6bcc73366db855a1f7d222e385d68f",6.63196916898904,-2.31233669132914,0.584335913321729,-3.95720447539221,7.58320155575717e-05,0.00102242476148312
"46","e43b50436502720b65056f6e0878fcf6",9.58588449008227,-2.84827557534402,0.605541566234732,-4.70368300735266,2.55509855121962e-06,6.39391619989828e-05
"47","712d8fec8ad637b730b73530b267a5c3",22.5849319205591,-4.55727993052935,0.725163165506332,-6.28448899131178,3.28933841461132e-10,6.43065660056514e-08
"48","f3d0b892a9d499aba1dab05128d916d4",7.09922475706519,-2.74878951095739,0.566160004350158,-4.85514605383062,1.20298045056578e-06,3.61819504747093e-05
"49","96be8572ab1e63d07eae18c99c131814",65.4584292277908,-4.12629922511063,0.694374630774092,-5.94246829051144,2.80761978040691e-09,2.95171007010218e-07
"50","a5b58779401c242ca6754aa373d3744b",171.800918801123,-5.2340422442713,0.690559657563823,-7.57942081750926,3.47100963820427e-14,1.35716476853787e-11
"51","772742c21b137e2a0e66d6b2f552d189",14.487301303463,-4.05985753955272,0.694181732146506,-5.84840734284246,4.96301970428356e-09,4.31231267638861e-07
"52","7cbc6dd3315855ff211ecd14f2eb8807",6.27407844471738,-2.23147636915782,0.572070382020128,-3.90070249971324,9.59139592325857e-05,0.00120975348580455
"53","072fd605bb36afc20f93db2f2defa6d0",15.9942361508385,-3.36036886751579,0.645744883060322,-5.20386449148507,1.95186356834934e-07,9.5397331903074e-06
"54","041b625c54123f9d7d9063da1be1fc58",8.53034277868106,-3.14754121112789,0.636678082397359,-4.94369336427616,7.66562435031739e-07,2.42875645025519e-05
"55","2d0f1060fc8d0f36eddbdd628c8719cb",7.97884631023002,-3.12136609953058,0.631702823518177,-4.94119383881582,7.76456665682607e-07,2.42875645025519e-05
"56","2b6bb799cf35ad88f7592fb9e07c4d8e",4.0888324576977,-2.07775178519039,0.562493876241805,-3.69382116490315,0.000220909191224014,0.00221475625047666
"57","1456c146d7bfe2d77465b415a7c0cef2",8.55992001320476,-3.15256351996788,0.619131985771261,-5.09190865989696,3.54476872588395e-07,1.38600457182062e-05
"58","cf9c3b12a984dca28318a89a4fe070f7",7.82830388324376,-2.55389292325859,0.609330697833737,-4.19130848378076,2.77350250413316e-05,0.000471495425702637
"59","ba7d590a2ab8184257d8f97714edd1d3",5.78873105637613,-2.21834001854661,0.516498753582461,-4.29495715751508,1.74727075743584e-05,0.00033626670461945
"60","cc142726835e37ce47bc30a0d78c8900",6.51616891946916,-2.33780148402723,0.550522004251679,-4.24651778852144,2.17118549775205e-05,0.00040425406172431
"61","8c6771536be763b91043dce5372f78ed",305.108989891579,-3.95548345036056,0.797197825801325,-4.96173386622649,6.98666815533535e-07,2.37546717281402e-05
"62","c5e7a643871ac59d5e0d4b8296336a68",15.3807160503934,-4.07221916581746,0.680746235272464,-5.98199292896212,2.20423843834007e-09,2.95171007010218e-07
"63","5587581a75d1469a2cc1b8b7fdbff072",8.30477689626674,-2.03230953833101,0.532765540579622,-3.81464149524379,0.000136380777230892,0.0016407656583778
"64","4943c9d299a07bdb55fa8561adefb2ae",7.95820661571804,-2.10932522630848,0.516135670333089,-4.08676506498227,4.3742966940454e-05,0.000670725493086961
"65","8f442eabe45b14dd6b4ac91131baee32",4.83380616284818,-2.32186149820026,0.588601334490415,-3.94470987771446,7.98966508450194e-05,0.00105896916882721
